Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,abs_diff,Gene,Hallmark,Reactome,same_direction,log2FoldChange_hcv,hcv_sig,log2FoldChange_fu,padj_fu,fu_sig
ENSG00000124172,9776.699815693122,0.4310932201972958,0.1316958582297382,3.27339998381172,0.0010626198949313,0.02729298681328,0.4310932201972958,ATP5F1E,['HALLMARK_OXIDATIVE_PHOSPHORYLATION'],['HALLMARK_OXIDATIVE_PHOSPHORYLATION'],False,0.4356767473444572,True,-0.3627881953152535,0.109404678799491,False
ENSG00000239672,953.9931550442084,0.4298170671962525,0.1288636502166525,3.335440727261885,0.0008516430704581,0.0257612079247586,0.4298170671962525,NME1,"['HALLMARK_MYC_TARGETS_V1', 'HALLMARK_ALLOGRAFT_REJECTION', 'HALLMARK_DNA_REPAIR', 'HALLMARK_E2F_TARGETS']","['HALLMARK_MYC_TARGETS_V1', 'HALLMARK_ALLOGRAFT_REJECTION']",True,0.6920412795230011,True,0.3351125040093168,0.184279631246383,False
ENSG00000048392,3288.627314494839,0.4290792163888745,0.1155027960102479,3.7148816410539927,0.0002032988290911,0.01477131065046,0.4290792163888745,RRM2B,['HALLMARK_DNA_REPAIR'],,False,0.36418038443137846,True,-0.29617796276642,0.1208533911197006,False
ENSG00000147669,1908.97926128718,0.42753033330067,0.1323716943952095,3.229771555422064,0.0012388916577649,0.0291336597030702,0.42753033330067,POLR2K,['HALLMARK_DNA_REPAIR'],,True,0.5046447019919598,True,0.0904839989402305,0.7172508903464322,False
ENSG00000104290,553.9320449408668,0.4260306952175822,0.1171646183640072,3.636171919188004,0.0002767196865582,0.0163419756481462,0.4260306952175822,FZD3,,,False,1.2273446658092904,True,-0.3961986961022245,0.1007555737237788,False
ENSG00000276966,6210.218476263549,0.4247239864988543,0.1290550383968462,3.2910298720211264,0.0009982131266715,0.0268963860216638,0.4247239864988543,H4C5,,,False,1.196826839631885,True,-0.2318677011871105,0.3114972388150425,False
ENSG00000172465,485.38451914745656,0.4245187049013755,0.1008042566748423,4.211317248940366,2.5388589934300752e-05,0.0073732319615713,0.4245187049013755,TCEAL1,,,True,0.3531757178693927,True,0.0455928860978152,0.8265292818288822,False
ENSG00000099365,286.3426539130751,-0.4231772563069023,0.1440626357963212,-2.9374532401670006,0.0033092007180718,0.0454100327753497,0.4231772563069023,STX1B,,,False,-1.0494365863760058,True,0.3340046268149829,0.2212184413785013,False
ENSG00000141867,2656.1076308485817,-0.4227717803615712,0.1389303003215387,-3.0430494959207097,0.0023419380961585,0.038733104582575,0.4227717803615712,BRD4,,,False,-0.7147845228412583,True,0.249855350865221,0.2984664314740914,False
ENSG00000170571,1602.165389272114,0.4227353659301585,0.1406863121841658,3.00480806815645,0.0026574848547777,0.0405952897582485,0.4227353659301585,EMB,,,False,1.6173686403525835,True,-0.4407223059029304,0.1606064132808719,False
ENSG00000125743,3376.668438306144,0.4219530429148859,0.1220392193699025,3.457520009497444,0.0005451717550906,0.021656565841242,0.4219530429148859,SNRPD2,['HALLMARK_MYC_TARGETS_V1'],['HALLMARK_MYC_TARGETS_V1'],False,0.6195895626753953,True,-0.3316527724272172,0.0953420695745164,False
