Gene,Gene,Value
PLEKHF2,PLEKHF2,0.002
HNRNPH2,HNRNPH2,0.002
DHX35,DHX35,0.002
ZBTB40,ZBTB40,0.002
ASPN,ASPN,0.002
POLE,POLE,0.002
RPL10A,RPL10A,0.002
ARHGEF10L,ARHGEF10L,0.002
BTBD1,BTBD1,0.002
ZNF85,ZNF85,0.002
UBE2N,UBE2N,0.002
CDAN1,CDAN1,0.002
TNRC6B,TNRC6B,0.002
ZNF525,ZNF525,0.002
SRP14,SRP14,0.002
GOLGA8B,GOLGA8B,0.002
UQCRH,UQCRH,0.002
CCDC146,CCDC146,0.002
SEMA3D,SEMA3D,0.002
USP19,USP19,0.002
TIRAP,TIRAP,0.002
ZNF384,ZNF384,0.002
TCEAL8,TCEAL8,0.002
CRNKL1,CRNKL1,0.002
NAV2,NAV2,0.002
LRRTM2,LRRTM2,0.002
RPS27A,RPS27A,0.002
AKAP8,AKAP8,0.002
PHYKPL,PHYKPL,0.002
ELMO1,ELMO1,0.002
ZNF267,ZNF267,0.0
MYL6,MYL6,0.0
SEPTIN7,SEPTIN7,0.0
LARP1,LARP1,0.0
MCU,MCU,0.0
SLC66A3,SLC66A3,0.0
C14orf119,C14orf119,0.0
METTL9,METTL9,0.0
UBA52,UBA52,0.0
C3orf38,C3orf38,0.0
CD58,CD58,0.0
ZNF766,ZNF766,0.0
AAGAB,AAGAB,0.0
RPL13A,RPL13A,0.0
PPP1R8,PPP1R8,0.0
PDE1A,PDE1A,0.0
DDX50,DDX50,0.0
LUC7L2,LUC7L2,0.0
ARFIP1,ARFIP1,0.0
USP13,USP13,0.0
SSBP1,SSBP1,0.0
NUP214,NUP214,0.0
ITGB1,ITGB1,0.0
EP300,EP300,0.0
BTBD10,BTBD10,0.0
ATP6V0E1,ATP6V0E1,0.0
VPS35,VPS35,0.0
METTL22,METTL22,0.0
PDCL,PDCL,0.0
TRRAP,TRRAP,0.0
PCNT,PCNT,0.0
GANC,GANC,0.0
KAT2A,KAT2A,0.0
BRPF3,BRPF3,0.0
MBD1,MBD1,0.0
OTULIN,OTULIN,0.0
CLK3,CLK3,0.0
POLR3E,POLR3E,0.0
RNF216,RNF216,0.0
CNOT1,CNOT1,0.0
HERC2,HERC2,0.0
TEX52,TEX52,0.0
SYT2,SYT2,0.0
POGZ,POGZ,0.0
ARPC2,ARPC2,0.0
DNTTIP2,DNTTIP2,0.0
TOP3A,TOP3A,0.0
PSKH1,PSKH1,0.0
FBXO42,FBXO42,0.0
TET3,TET3,0.0
SETD5,SETD5,0.0
TAX1BP1,TAX1BP1,0.0
ATAT1,ATAT1,0.0
NOTCH2,NOTCH2,0.0
GALNT1,GALNT1,0.0
NOP10,NOP10,0.0
ABRAXAS1,ABRAXAS1,0.0
PNRC2,PNRC2,0.0
MCM3AP,MCM3AP,0.0
MRPL47,MRPL47,0.0
CHMP5,CHMP5,0.0
TTLL4,TTLL4,0.0
ATP6V1G1,ATP6V1G1,0.0
AGER,AGER,0.0
TEAD1,TEAD1,0.0
CAMKK2,CAMKK2,0.0
RBM28,RBM28,0.0
SMPD4,SMPD4,0.0
VAPA,VAPA,0.0
TMEM87B,TMEM87B,0.0
TSC1,TSC1,0.0
MADD,MADD,0.0
LARP4B,LARP4B,0.0
RERG,RERG,0.0
ERVW-1,ERVW-1,0.0
MAN2C1,MAN2C1,0.0
HMGB2,HMGB2,0.0
RAB8B,RAB8B,0.0
TNFAIP8,TNFAIP8,0.0
SUB1,SUB1,0.0
ATP5F1E,ATP5F1E,0.0
ZNF445,ZNF445,0.0
ZZEF1,ZZEF1,0.0
CLASP1,CLASP1,0.0
ZXDC,ZXDC,0.0
AKT2,AKT2,0.0
